question,choices,answer
"Mark 's semen was very thick , but after his vasectomy it was also what ?",blank|sparse|thin|clear|free flowing,clear
What is a great place to lay in the sun ?,in the basement|west|solar system|beach|beans,beach
Where would you find a seafood restaurant in the east coast of North America ?,maine|boston|beach town|coastal cities|ocean,maine
The president is the leader of what institution ?,walmart|white house|country|corporation|government,government
Sitting to close while watching TV can cause what sort of pain ?,brain problems|laziness|get fat|headache|laughter,headache
Where is a bald eagle safe ?,pine tree|open country|in washington|wildlife refuge|sky,wildlife refuge
"The game promised it was free , but the child 's parents soon found themselves doing what for microtransactions ?",costly|captive|contained|paying|caught,paying
What kind of driving leads to accidents ?,stressful|dangerous|fun|illegal|deadly,dangerous
What is eating too much dinner likely to result in ?,tiredness|living longer|stomach ache|illness|acid reflux,stomach ache
What is a person chatting with friends likely hoping to accomplish ?,gathering of information|communication|feel relaxed|kill boredom|social bonding,social bonding
"Jame 's bare feet were burned as he walked , because the sunshine had made the surface hot . Where might he have been ?",disneyland|snow|windowsill|street|summer,street
"A fox was thirsty searching for water during the drought , where was he ?",painting|hen house|california|virginia|movie hall,california
What might be the result of a season of successful skiing ?,finish line|broken bones|broken legs|chapped lips|healthy body,healthy body
"The sensor would just the distance then set off an alarm , the installation expert explained it was called a what kind of sensor ?",near|closeness|here|proximity|this,proximity
"The man was eating lunch , but rushed when he looked at his watch , why did he rush ?",gain weight|late for work|heartburn|bad breath|early for work,late for work
"The evacuation became mandatory , so what came on the TV ?",advisory|mandate|soap opera|elective|optional,advisory
The person gave a good hands on what to show how to do the work ?,demonstration|garage|building|barn|synagogue,demonstration
Where would you see some people doing jumping jacks ?,military base|opera|water fountain|bus stop|church,military base
"The body guard was good at his duties , he made the person who hired him what ?",better job|irritated|feel safe|save money|headache,feel safe
"Learning languages is difficult . Even in a full immersion environment you 're likely to make mistakes , mistakes will cause misinterpretation , which will be uncomfortable , which will cause what ? ,",better communication|overthinking|frustration|misunderstandings|headaches,frustration
"Jim enjoyed killing people , but he did it too often and the cops found out . What might the cops do to him ?",going to jail|going to prison|beat him up|get arrested|die,get arrested
Where is there usually a fiddle playing ?,music store|dance hall|orchestra|symphony|tennessee,orchestra
What is the only was to recover from exhaustion ?,mediate|have rest|stay in bed|run out of steam|go to sleep,have rest
What would you do if you want to be able to earn money ?,apply for job|stand in line|take care of proposals|pass course|play the lottery,apply for job
What is a grumpy person likely to have ?,headache|understand themselves|compliments|own house|happiness,headache
What do drugs do ?,damage|cloud mind|lower i.q|cause illness|cause accidents,cause accidents
A beaver can destroy a machines functionality if they build their dam in this ?,strip club|pocket|millpond|ontario|lake or river,millpond
"They decided to hash things out over drinks , after enough booze they were able to get close on a few things and what ?",reach tentative agreement|suicide|examine thing|commit murder|stay in bed,reach tentative agreement
Where could a fungus grow and not be disturbed by sunlight ?,under rocks|manhattan|toenails|grocery store|fallen tree,under rocks
Can you name a good reason for attending school ?,get smart|boredom|colds and flu|taking tests|spend time,get smart
What state south of Kentucky and north of Alabama will you find people playing the fiddle ?,alabama|tennessee|violin case|music store|bow and strings,tennessee
"Though she made the cut years ago , its figurative scars would never what ?",joining|put together|stitch|heal|paste,heal
What does sex often make happen in people ?,making love|feel good|happyness|wonderful thing|cloud judgment,feel good
Where would you see people in uniform playing with a ball ?,hole|television|sporting goods store|pool table|sporting event,sporting event
What kind of place could have a seafood restaurant ?,new york|coastal cities|city|coastal cities|boston,city
Who was the head of the branch yelling at ?,owner|foot|subordinate|base|point,subordinate
"He made another call , he did this all day hoping people would what well to his offer ?",hang up|respond|contact|answer|attracting ducks,respond
"She needs to visit a bookshop after buying the latest fashion , where should she look ?",student union|mall|department store|library|town or city,mall
Where could you see an advertisement while reading news ?,television|bus|email|web page|la ville,web page
What is required to be good at playing tennis ?,tennis racket|skill|competition|tennis court|legs,skill
What state is the John Davis Lodge toll road found in ?,new jersey|eastern united states|good repair|connecticut|arizona,connecticut
"The man went to clown college , he had always want to run away with the what ?",circus|carnival|surprise|spoons|party,circus
"Jamie wanted to reduce her waist size , but all of her efforts failed miserably . She continued to do what ?",gain weight|augment|dispare|make larger|expand,gain weight
James felt himself losing consciousness . He was frightened . He did n't want this . He was scared of what ?,death|coma|peace|forgetfulness|loss of life,death
"If someone is aloof and self-important , what is their experience when meeting people ?",stress|nervousness|smile|being bored|making new friends,being bored
"He was receiving workman 's compensation , he had tripped over a metal rod while building where ?",factory|construction site|engine|insides of skyscraper 's walls|shops,construction site
John and James spent most of their time communicating with each other on their project . The time required to communicate slowed their what ?,static|train of thought .|progress|transfer of information|collaboration,progress
When you play around with your dog they will have ?,alive|health|fun|playing dead|black,fun
Where would a person keep a book while it 's being read ?,closet|library of congress|classroom|in bed|desk,desk
"The student needed to get some new pencils , where did he go ?",store|classroom|backpack|cabinet|teacher,store
"She loved buying products , she was driven by her what to shop more than any practical needs ?",desire|money|time|credit|spending money,desire
How does getting paid feel ?,income tax|satisfaction|sorrow|ocean|bill collectors to happy,satisfaction
"The fat man refused to accept what was possible , he complained that he what the simplest activities ?",no go|unlikely|unable|cant do|impossibility,cant do
Where can meat last a long time ?,backery|ham sandwich|fridge|butcher shop|freezer,freezer
What group of musicians will include someone playing the cello ?,ocean|symphony|band|music store|music shop,symphony
Where do bees congregate with red flowerS ?,trash can|honey|bouquet of flowers|rose garden|field of flowers,rose garden
What is someone who gets angry after getting drunk likely to participate in ?,violence|falling down|vomiting|vomiting|lower standards,violence
"The teacher told all the students that listening was key , it was the main way they would gain what ?",empathy|anxiety|knowlege|falling down|hear things,knowlege
Stanley had a dream that was very vivid and scary . He had trouble telling it from what ?,reality|imagination|dreamworker|nightmare|awake,reality
The city 's community garden was demolished for yet another what ?,wasteland|ocean|desert|parking lot|flowers,parking lot
WHat do cats get into when they are ripping things apart ?,dog 's mouth|floor|garage|trouble|nature,trouble
What is a good result of losing weight ?,increased energy|healthier|loose skin|beauty|death,healthier
A person lived in my what ?,demonstration|conference|building|garage|mouth,garage
"The skin was cut while chopping onions , where was this skin likely cut ?",good health|finger|meat|body|own family,finger
What might you feel after doing housework for hours ?,anger|not boredom|stress|boredom|anxiety,stress
"The accountant used a calculator regularly , he kept one at home and one at the what ?",desk drawer|desktop|office|wristwatch|city hall,office
At the end of your meal what will a waiter do ?,serve food|eat|set table|serve meal|present bill,present bill
"If you are n't glad , unhappy or gloomy , what illness may you have ?",depressed|downcast|angry|unhappy|sorrowful,depressed
You can hear testimony of how spirituality changes lives when you do what ?,go to church|appear in court|watch soap operas|paying attention|go into court,go to church
"It was a great rest , she had never felt this much what in the morning ?",active|hunger|in motion|wakefulness|lay down,wakefulness
Which region has the most famous temple ?,jerusalem|jewish community|middle east|city|mosque,middle east
Where would you find a bee gathering pollen ?,united states|sky|court|field of flowers|orchard,field of flowers
Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house ?,roof|school|beach|closet|garage,closet
"If you 're speaking to a lawyer about getting a divorce , what relationship status are you trying to end ?",being married|sisters|marriage|two people|lawyer,being married
How do geese normally get from place to place ?,carried by people|guard house|fly|follow ultralight airplane|group together,fly
John was punching and punching at the wall but succeeded only in bloodying his knuckles . This was bad . He would be unable to hold his tools if he injured what ?,hostility|anger|nose|fists|hands,hands
"Though it stayed strictly indoors , the small dog felt like it had all the space in the world in the what ?",living room|dog park|basket|small apartment|big house,big house
WHat leads to someone 's death when they are very depressed ?,suicide|overdosing|sadness|murder|cyanide,suicide
"She was sick and staying in bed the day of the event , unfortunately this meant she was what ?",resting|sleep more|bed sores|missing out|comfort,missing out
Where would a lizard surprise a person ?,new mexico|forrest|dessert|garden|creek,garden
"They were getting together for the big game , he was n't hosting but made sure to bring pretty of food with him over to where ?",picnic|friend 's house|table|space shuttle|fairgrounds,friend's house
Who is likely yo have a caring heart ?,person|species|artichoke|all mammals|live animal,person
"I 'm looking for alcohol and fried foods , any suggestions ?",pub|plane|beer|store|fraternity house,pub
"If I had a jar which was likely to spoil if left out , where would I want to put it ?",kitchen cupboard|pantry|grocery store|pantry|refrigerator,refrigerator
Sam went to Paris where he ordered a blowfish at a sushi place . Where was Sam ?,books|france|fish market|atlantic ocean|cuba,france
What will happen to skin pinched in something ?,feel cold|feel pressure|feel bumpy|itches|feel clammy,feel pressure
"Sally lost her kite because she was n't careful . She thought that there was more string on the spool , but it slipped out of her fingers when she reached the what ? .",child 's hand|the last straw|hobby shop|end of line|toy store,end of line
"The man uses grooming before a job interview , what is he trying to portray ?",looking good|beauty|tardiness|handsomeness|neatness,neatness
Where would there be many people sitting in chair and listening to religious speech ?,auditorium|office|synagogue|confession|church,synagogue
Where is a tabby cat likely to be happiest ?,box|home|alley|lap|barn,lap
East coast areas such as Florida are found where ?,florida|denmark|united states|map|california,united states
"To learn must have the right book , to work efficiently what must one have ?",improve yourself|become knowledgeable|have tools|persistence|have more knowledge,have tools
What is a mobile launching platform found in the ocean ?,launch pad|circus|aircraft carrier|large open area|space station,aircraft carrier
There were n't potatoes but actually a snake in his what ?,burlap sack|hot country|purse|pet shops|deep grass,burlap sack
What could listening to music cause you to be ?,happy|smile|calm|entertainment|relaxation,calm
"If you want to make a big splash in a river with a rock , from where should you throw it ?",mountains countryside|ground|bridge|mountain range|surface of earth,bridge
What is committing perjury likely to lead to ?,shame|arrest|embarrassment|go to jail|tension,arrest
"The new play was the go to performance of the year , all the crowds would stand and what ?",admiration|applaud|make reservations|experience|sleep,applaud
`` There are 10 apples on an apple tree . Three fall off . Now there are X apples . '' What is this an example of ?,park|coloring book|garden center|math problem|gravity,math problem
Where are people likely to find food ?,opera|supermarket|building|conference|apartment,supermarket
What might a kid do with his friend before going to play ?,laugh|sit|being entertained|math|meet,meet
What is a person who is well educated ?,illiterate|knowledgable|own house|have enough food|meet expectations,knowledgable
"Ben was an alcoholic and was in an accident . Because of his mistake , he spent 8 years somewhere . Where was he ?",prison|bridge|locked up|homeless shelter|neighbor 's house,prison
Where do you buy tickets at a ticket booth for games/,train station|cathedral|metro station|fairgrounds|amusement park,fairgrounds
A soccer field that is not contained in a building would be where ?,playground|mexico|town|outside|world cup,outside
Letters are sometimes delivered by hand through one of these .,mail box|suitcase|front door|bowl|post office,front door
John came to see Sam and Sam kicked him out . Sam did n't like company . He prefered what ?,you|abbreviation|solitude|loneliness|alone,solitude
"If somebody likes temperatures cool , they might have more than one electric fan where ?",home|hardware store|home|hot room|office,home
"Sky diving scared him , once they jumped out of the plane he began losing consciousness while what ?",injury|death|playing uno|coma|falling down,falling down
"The president had to make a decision regarding the hate attack on his country , what did he do ?",wage war|fight enemy|kill|destroy enemy|attacked his country,wage war
What 's it called when you have seen something through an eyepiece ?,sights|optical illusion|optical telescope|light microscope|binocular,sights
"He had done a great job with the scary decorations , they were completely what ?",terrible|little|halloween|small|horrible,horrible
"If you did well on the test , you might get an A as a what ?",see work|practice|quiz|school grade|homework,school grade
If you tell you boss your suffering from boredom they 'll likely tell you to get back to what ?,dream|fiddle|watch film|see new|work,work
What is a good result of jogging ?,insect repellent|heart attacks|improved health|shin splints|being tired,improved health
What is done to wood to attach something to it ?,nailed|carved|polished|eat cake|petrify,nailed
Where is a fox likely to be caught ?,tennessee|inside joke|grassy field|the forrest|england,grassy field
Where do you put a new dining table ?,cafeteria|arranging papers|in the park|formal dining room|house,house
"Sometimes fighting inflation is n't even what , because it is so negligible ?",economic instability|not noticeable|spend more|rising interest rates|boring,not noticeable
What is likely to have more than one level in a city ?,carpenter 's shop|video game|garage|total number|building,garage
Where is likely to have a lot of fire extinguishers ?,garage|hospital|boat|house|doll house,hospital
Where would someone learn to play an upright piano ?,music room|music store|music class|medium|house,music class
What is necessary for learning by yourself ?,exposure|patience|study|cooperation|thought,study
"John and Jane were a couple . They were dating for a while and wanted to be together for even longer . For this reason , they did what ?",make sex|plan to marry|dance|electrical circuit|row about,plan to marry
What emotion does getting paid lead to ?,sorrow|paying bills|happiness|frustration|spending money,happiness
Who is likely going in to a market ?,stress|food|that you|spending money|walking,that you
What is a characteristic of thin glass ?,break easily|shattering|melt|bend|hold water,break easily
What do you get for not moving your car during the required time ?,towed|accidents|driving|getting tired|ticket,ticket
"Bob 's feet hurt from running barefoot on the hot pavement . I lost his shoes , did n't know where they landed , and had to run from the corner store to his home . About where did he run ?",a bed of nails|town|attractive consistent look|city block|ground,city block
Where would you be able to hear a bassoon played in an unpleasing fashion ?,orchestra|baritone woodwind sound|symphony|play music|high school band,high school band
John loved competing because he was very competitive . He liked being about to divide people into what categories ?,winners and losers|perform better|might win|losses|enemies,winners and losers
The game was on sale . I got it then because it was usually what ?,buying|purchase|overpriced|way to much|expensive,expensive
What could a massive building be if it is not constructed well ?,insubstantial|massless|dwarf|inconsequential|good,insubstantial
Where could a printer be used by thousands of people ?,school|home office|people store|print shop|newspaper office,school
What could prevent someone from buying chistmas presents ?,happiness|lack of money|stress|relief|exhiliration,lack of money
What is the hope of playing sports without competition ?,running|have fun|balls touch|winning|get tired,have fun
"They moved out of the city to have a master bedroom , what kind of home did they seek ?",large house|suburban home|big house|old house|keeping personal objects,suburban home
What could you add a line to ?,bus stop|graph|post office|grass|play,graph
Joe bought a ficus . He thought it would look good in what part of his home ?,family room|tropical forest|flower garden|movie theater|hair salon,family room
"Sarah wanted to by a new rug . Ink spilled onto her old one . Really , she did n't know what that thing had an inkwell in the first place . What piece of furniture might have been on her run ?",front of door|bedroom|desk|table|living room,desk
"When people discover something new while chatting with friends , why are they likely to continue talking ?",agreement|to fill their time|discomfort|misunderstanding|learning about,learning about
How can one 's views change after learning about science ?,appreciation of nature|become educated|excitement|increased knowledge|see things differently,see things differently
"Traveling underwater has many dangers , such as low visibility causing what ?",disorientation|due to|meeting new people|getting somewhere|relocation,disorientation
Where are people likely to stand at an intersection ?,cars|city street|street corner|fork in road|at a red light,street corner
Janet knew she was dying from her injuries because she could feel herself doing what ?,sleeping longer|getting cold|death and decay|change of color|stop breathing,getting cold
"An expressway can suffer from traffic , this traffic gets worse the closer you get to any what ?",michigan|map|american city|rest stops|country,american city
Where are there more telephone booths ?,gas stations|city|london|train station|airport,city
"John moved away from his family . He was a bit upset that he had to do it , but he needed the job . Still , he would have preferred it if the job were what ?",present|stay here|closer|available|come here,closer
"James complained that Alexa 's electric guitar was too loud and he could n't get any work done at home , so she decided that she should get an acoustic guitar . Where might she look for one ?",house|music shop|studio|storage|closet,music shop
What can someone feeling happiness fall into ?,lead to laughter|love|laughter|smiles|tears,love
How might a person address someone who is leaving ?,further cause|wave goodbye|attempt suicide|insulting them|thank god,wave goodbye
What does a chef do when working in the evening ?,cook dinner|study french cooking|taste sauce|prepare food|thin sauce,cook dinner
What would happen to a person if his or her money is stolen ?,complete sentence|feel angry|drink tea|cross street|park,feel angry
"The people in class were instructed to brainstorm ideas , how would they use their minds for this ?",shake hands|control events|talk to each other|think creatively|dress themselves,think creatively
Someone lacking immortality will one day be ?,kick the bucket|mortal|dead|can die|dying,dead
"After his mother saw his report card he knew he was going to be doing housework , what could have prevented this ?",sneezing|fatigue|house clean|feeling satisfied|getting good grades,getting good grades
Glass that has n't been treated to be extra strong is what ?,weak|fragile|forceless|regular|flimsy,fragile
If you 've thrown a rod you 've done damage to what ?,fishing camp|hardware store|engine|your spine|sporting goods store,engine
What enables most people to transport themselves ?,helicopter|own cars|speak words|believe in god|dance together,own cars
What do people in the same family often share ?,brown hair|names|two eyes|will|brains,names
What is an area with no grass where I can get things to sell at a roadside stand ?,surface of earth|rest area|supermarket|state park|garden,garden
Where do kids find fish in their backyards ?,boat|ocean|pond|end of line|ocean,pond
Where must one wear a white shoe ?,wedding|tennis|closet|left foot|house,wedding
"James chose to not to print the cards , because he wanted to be more personal . What type of cards did he choose , instead ?",cursive writing|hand writing|store bought|online media|hand written,hand written
"They checked the weather one more time during the flight , they were on their way to paradise and wanted it to what ?",look beautiful|be happy|change quickly|occur here|surprise us,look beautiful
What are you hoping to achieve when talking to someone ?,communicating with others|hurt feelings|dry mouth|intimacy|changing behavior,communicating with others
What place of work might you find a hairpin ?,hair salon|hair of woman|barber shop|pincushion|woman 's hair,hair salon
What can go on a football field ?,oklahoma|university|college campus|players|yard,players
What has a master of their craft done about that craft ?,drill|committed murder most vile|bargemaster|learn|understand,learn
If your watching television and accomplish nothing what have you done ?,getting fat|get fat|typing words|falling asleep|wasted time,wasted time
"He was in a cabin in the woods , through the window he saw a fox where ?",indiana|england|outside|on the wall|picture,outside
"The hippy wanted peace with all humans , he had strong what for them all ?",names|words|naval|bladders|feelings,feelings
"He was a very sharp engineer , but when it came to the details his calculations could were often what ?",complimentary|inelegant|ocean|dull|inaccurate,inaccurate
In the middle of the day what will someone do because of being hungry ?,cook dinner|make bread|eat in restaurant|have lunch|make bread,have lunch
"John enjoyed his time visiting the museum . He wanted to spend more time there , so that he could study the exhibits more . He was a very academic person and loved doing what ?",tired feet|gaining knowledge|back pain|being bored|pondering,gaining knowledge
What will telling many people about an embarrassing situation lead to ?,notoriety|emotional distress|riot|bad dreams|annoyance,emotional distress
"The electric motor powered many important things , including one if almost every house . Name this item ?",electric locomotive|electric typewriter|multi-coloured walrus|electric refrigerator|electric drill,electric refrigerator
Where can peanut butter be stored ?,container|supermarket|pantry|sandwich|jar,pantry
Where would you play a board game with your family ?,toy store|home|school|toy shop|shelf,home
James needed a garage because he spent a lot of money on what ?,bike|downtown|building|tool storage|car,car
"If I am a person , I have a unique ability to do what ?",cross street|stand upright|speak spanish|speak chinese|further education,stand upright
"Two friends wanted to spend a quiet evening together , what did they go see ?",wedding|friend 's house|internet cafe|movie|restaurant,movie
"If an animal is tired , what is it likely to do ?",bite|lie down|keep alive|need to eat|go to sleep,lie down
Where would you sit in a chair to watch four-legged animals complete ?,bookstore|house|race track|friend 's house|building,race track
If you were looking for a lemur where would you find it ?,russia|at home|hole|field|heaven,field
John ran out of pencils . Where did he go to get more ?,desk drawer|cup|pencil case|shelf|office depot,office depot
When would you be able to see your reflection in a piece of wood ?,burned|polished|carved|composted|nailed,polished
What emotion do people expressing themselves show when they trip in front of a crowd and break their leg ?,communication|suffering|pain|laughter|embarrassment,embarrassment
"He waited for his friend at the squash court , but he was worried his friend thought he meant the at the other end of the public what ?",country club|rich person 's house|pool|park|fitness center,park
When you plant a garden you can harvest what to eat ?,flower|animal|flower petals|vegetable|alive,vegetable
Where is basketball court likely to be outdoors ?,high school gymnasium|city|park|use|los angeles,city
What could a balalaika be needed for ?,artist junkyard|music store|singing|symphony|orchestra,symphony
What type of home is most likely to have an attic filled with historical items ?,top of home|older houses|victorian house|own home|material,victorian house
"Jackson is a popular city name , but the one with a governor 's office is where ?",michigan|wyoming|mississippi|tennessee|mississippi,mississippi
Where is microphone boom likely to be used to record an album ?,radio station|recording studio|concert|tv studio|new york,recording studio
What is the worst outcome of an injury ?,cause death|cause bleeding|falling down|become infected|claim insurance,cause death
How is someone who loves their TV likely to feel about their remote ?,attached|nostalgic|companionable|likely|close,attached
"The man wanted to take a bus , but all the chars were full of people doing what ?",sitting down|refusing|saving money|sit down|go outdoors,sitting down
"Bob thought that his Pokemon cards were common and worthless , but he was wrong about them . They were really what ?",personal|special|shiny|rare|irregular,rare
"A wife asks a husband to stop being married to her , what is he likely to feel even with friends ?",happiness|pleasure|happy|grief|isolation,grief
"The camper looked up at the vast night sky , it left him feeling mighty what ?",unimportant|insignificant|stellar|somewhat|helpless,insignificant
"Though nearby , an apple from an apple tree where would be an imported product to the USA ?",ohio|washington state|alaska|canada|flowers,canada
"The old man was retired and liked the simple things , he would do crossword puzzle every morning simply just to do what ?",you 're bored|pass time|relax|mentally challenged|win,pass time
What would you change the learning process to be if someone does not like learning ?,interesting|fun|joyful or painful|very important|free,fun
To properly instruct children attending school you would need a great deal of what ?,boredom|patience|time|teachers|inspiration,patience
If done correctly grooming pet 's nails generally does not cause this ?,training|satisfaction|injury|beauty|late,injury
"The man was cleaning clothes for his date , what was he looking to achieve ?",ruined|clean clothes|sadness|attractive appearance|look better,attractive appearance
"The person was looking up airline and hotel prices , what was he looking to do ?",control computer|separate things|go on vacation|cross street|go out,go on vacation
"The person put on lotion , what did they want ?",fresh smell|good credit|smooth skin|fresh produce|headache,smooth skin
"Eating breakfast in bed can make you feel what , assuming that you do n't spill anything ?",vomiting|pleasure|happiness|contentment|mess,contentment
What would an adult man do to get ready for work ?,dress herself|shower|dress himself|drink beer|drive train,dress himself
"The woman picked from an apple tree while surrounded by other trees , where was she ?",illinois|woods|new york|indiana|farmer 's market,woods
"Mom is tidying a house , where would she put the loose dictionary ?",shelf|library|classroom|table|desk,shelf
"The judge did not take this part of the job lightly , the man was guilty but it was his passing sentence that condemned the man to what ?",go to jail|incarceration|intercourse|death|judgement,death
Simon bought a cow because he wanted to put it to work . He did n't want any meat for it . Where might Simon be taking the cow ?,countryside|city|dairy farm|butcher shop|canada,dairy farm
What would children do if they are bored ?,walk|change shoes|play tag|smell smoke|reach over,play tag
Behind what small door are canned goods usually kept in ?,cabinet|pantry|kitchen|cupboard|shelf,cupboard
"While laid up in the hospital she tried remembering good times , like that massage on vacation that brought great what ?",dream|knowing|depression|pleasure|nostalgia,pleasure
"If I want to maximize my number of potential customers , where should I build a new department store ?",idaho|shopping mall|big city|in town|new york,big city
Where is a good place to get a ball ?,kitchen|child 's hand|street|toy store|soccer game,toy store
What common chemical reaction is often used as a heat source ?,coal or wood|fire|lava|house|solar energy,fire
Where could you put a dollar that would make it hard to get out without breaking ?,cash drawer|piggy bank|purse|box|pocket,piggy bank
"I 'm at a restaurant ans want a glass of milk , how do I find out if they serve that ?",accompaniment to meal|waitress|cafeteria|home|menu,menu
What could contain no more than around 100 people ?,apartment|classroom|buildings|car|audience,classroom
"John joined the army because he wanted to see the world . When the fighting started , he only saw what sort of things ?",fort|orphans|battlefield|other countries|war,battlefield
where do children play a game ?,toy store|bar|casino|table|family room,family room
What could happen after driving car that does not involve pain ?,automobile accidents|backache|eye strain|getting tired|car crash,getting tired
In what place could you find air that has been breathed by only a few people recently ?,train station|house|cupboard|cricket stadium|surface of earth,house
what happens to a company when it is bankrupt ?,liquidated|own resources|branch out|commit crime|game over,liquidated
Blood is n't usually spilled during what sport that does n't allow the use of hands ?,soccer game|capillaries|ball|animals|person,soccer game
"The dog ran to the front window and barked , this is because of a presence at the what ?",building|friend 's house|classroom|window|front door,front door
Where would you find a sign with some people lined up next to it ?,bus stop|street corner|roadblock|fast food drive thru|city,bus stop
Sometimes it felt like being able to pay bills was the only reason he was actively what ?,pay debts|make money|having money|making money|keep house,making money
John just made first violin . This is is a position on what ?,violin case|symphony orchestra|class|learning to play violin|music store,symphony orchestra
Where can someone keep a digital file ?,suitcase|filing cabinet|computer|desk drawer|cloud,computer
What appliance uses water and soap ?,washing machine|space shuttle|blender|disneyland|surface of earth,washing machine
"I am looking to buy honey right from an apiary , where should I go ?",jar|stick to fingers|beehive|stick to fingers|farmer 's market,farmer's market
Where would someone likely bring an attache case ?,overhead compartment|chair|hospital|in shirt|business meeting,business meeting
"i like to examine different things , why do books the chapters on the back",examine thing|go somewhere|knit|read book|see particular program,read book
"The whole family was playing cards , they were full of joy and what ?",sadness|happiness|amusement|losing money|anger,happiness
Jimmy wanted a beer but his wife was an alcoholic on probation . Where might he go ?,neighbor 's house|bridge|home|homeless shelter|prison,neighbor's house
What country has with the capital of Amsterdam has a Fortis bank ?,netherlands|utrecht|brussels|belgium|denmark,netherlands
What building has a ot of glue bottles ?,art room|police station|classroom|desk drawer|school,school
"The king was to meet an ambassador , where would the meet ?",court|dinning room|throne room|monarchy|castle,throne room
Where do kids play with a ball that is concrete ?,street|soccer field|soccer game|central park|pool table,street
Diving off a cliff for a cartoon character often ends in comedic what ?,exhilaration|dismemberment|spinal injuries|getting wet|splats,splats
Jimmy did n't like going to the party . It seemed like the guys there did nothing but what ?,dance|getting drunk|meet new people|having fun|have fun,getting drunk
Where does a person need to get when they have more kids ?,compliments|understand themselves|life partner|second chances|larger house,larger house
Where would a special ficus be found ?,botanical garden|doctor 's office|in a sea|public place|arboretum,botanical garden
"James is apply for a job that he really wants . He knows that it will be a good fit and he has experience , but he does n't have all the qualifications that they 're asking for , so he 's worried about what ?",acceptance|rejection|hope|less sleep|employment,rejection
